name,hash,x,y,z
azontobeats,c3c3a709,135.8602,-51.3486,2.4875
new americana,5ddc9927,-20.0646,88.749,13.0096
tejano,8b2d3c4f,126.0188,-36.198,-5.124
korean ost,412d27ac,-69.9582,81.5168,5.9553
nova mpb,f3e423d0,55.6852,32.8437,4.2676
dutch edm,2a5add1f,56.0846,-215.6891,-1.3705
j-division,fe8a1a67,-65.4845,-133.3147,20.4532
sertanejo tradicional,da2d4c77,47.4775,59.4921,-37.5632
acoustic pop,17a31826,-46.1809,56.6154,16.8206
aesthetic rap,2082147a,117.893,-126.2918,16.3615
pop flamenco,61fdb7a8,70.3714,7.8555,21.7779
cancion melodica,83fcca1b,-19.6294,168.0589,27.0117
sigilkore,06512bf5,-37.863,-90.7349,4.7415
rap conciencia,85d29e90,143.1008,55.6984,-10.1566
neo-psychedelic,a453f916,-130.0491,7.495,-14.4419
dutch pop,26041f36,10.6622,-24.8219,11.8799
adoracao,845204c7,-133.3614,-6.0523,-11.148
ska argentino,ec7778b1,47.5864,-100.3772,-21.561
irish rock,68205f2d,-99.0759,5.4196,10.0619
classic italian pop,fd294b72,10.6607,117.7064,-3.0383
indie pop rap,6d8e6377,114.5601,-79.4754,-6.1243
pop r&b,c4d45088,69.7012,-41.8484,21.0005
groove metal,ed818225,-184.7842,-51.8373,5.9319
power metal,252fde54,-200.0875,-118.531,-1.0048
lo-fi study,ac8c4f6d,89.0726,33.5755,-28.7175
classic country pop,f2274659,38.9035,126.4564,6.8435
danish pop,1d9ab24d,84.58,-98.7445,1.1233
jazz,6abc743b,107.6556,230.33,10.4485
industrial rock,2c10c804,-76.8256,-144.9816,-3.2312
hyperpop,84b11e64,23.7372,-125.9247,-10.424
axe,237b5017,64.2675,-15.3548,-9.7778
phonk brasileiro,b81d349f,168.3146,-72.83,-8.4558
pixie,ef655341,-110.9586,-205.3744,13.9724
bossa nova,667e5ce4,49.083,150.6023,4.3253
uk post-punk,f4799c2a,-66.9551,-50.0817,5.4885
lo-fi indie,b05b420c,-79.8627,94.9619,15.6186
cumbia sonidera,f7b1fe9b,175.0073,-148.0196,-0.5843
southern soul,0f75f075,44.3825,59.355,-37.8837
roots reggae,06b57b01,238.5292,-68.6944,-8.2997
sad rap,07503d98,107.5648,-69.8115,-7.3659
german techno,ab5cb27f,149.7926,-209.5745,16.5021
lo-fi beats,751fcec7,134.2075,84.9189,-4.2746
sad lo-fi,d2d8122c,107.756,18.1794,-13.3668
pop emo,11330abc,-129.7402,-201.6387,-15.3488
binaural,12244891,-294.7309,156.4131,2.4433
german metal,dbf56f1e,-172.2752,-112.3465,-5.1099
cumbia villera,59d7414d,118.3225,-18.4733,-14.8619
latin worship,92da933d,-91.8755,-45.7092,2.5539
german dance,46bc9c9b,79.2798,-208.4361,-6.9287
drill,12e01409,108.0915,-113.5899,7.8956
pop edm,2a030a7d,-9.3161,-152.0415,8.0268
arab pop,669038d1,20.4487,-28.808,2.3278
brazilian reggae,320e6c47,124.8383,-47.3933,-3.2293
broadway,b9637f3e,-87.8135,211.6915,-5.074
roots rock,eaa197d5,-8.6257,76.254,-15.0061
samba,b36ad305,67.2013,107.4242,-37.2887
tech house,dce0d9ad,258.799,-233.3092,6.7166
filter house,baafe8d4,130.5052,-193.019,20.9608
video game music,2beced12,-165.9602,83.5898,2.3212
neo-classical,8ae9b34b,-41.2791,245.915,9.9613
jazz pop,e347c41d,51.071,141.1831,-4.7283
show tunes,219bf416,-9.6951,150.494,31.8524
rap canario,631c37c9,172.6838,-74.5871,5.3715
mollywood,e21141f1,44.3062,62.6786,-3.2402
sufi,0f0ebd34,11.6225,65.0677,5.9541
swedish hip hop,7dc012da,132.0413,1.1479,9.4899
turkish alt pop,b6b06932,11.904,-8.149,16.4389
hollywood,c1fb95d9,-6.9081,159.2363,12.4745
spanish rock,67669b97,-14.8342,-68.3873,-18.1717
nursery,02495a77,95.5104,78.5986,6.3706
irish singer-songwriter,d60beb60,-59.963,92.4054,-7.4614
electro latino,58b4424c,144.9652,-175.876,5.607
shimmer pop,df60521e,-42.8634,-139.7152,4.9945
lullaby,70eb3637,-79.8832,164.7862,-18.3965
korean r&b,13a3b8d8,71.0372,-14.8226,3.9505
baton rouge rap,e5c5bbe8,185.206,-124.3597,-9.0844
skate punk,a00d80ed,-121.95,-84.2424,7.67
grime,72f8548f,132.6325,-79.4382,-2.0723
country pop,b9ab0069,-58.8701,-97.7543,5.2223
german rock,1b2d7d8d,-22.3313,-54.3288,11.4121
nigerian hip hop,7d7e8b87,170.1229,-11.3243,-7.0659
russian pop,f9912634,52.6516,-144.7497,-10.6122
noise pop,3b58125a,-138.3792,19.7185,-1.0778
speed metal,8f33c78d,-202.562,-40.7169,-7.1526
canadian trap,446c1f4c,147.6356,-129.4836,-0.1257
indonesian indie,7aff9bc8,-67.8017,-7.1292,7.5333
rap marseille,08075c22,153.9322,-37.1336,-5.4112
vallenato,3bac89c1,205.4473,39.4796,9.7924
kentucky hip hop,d7f3b34a,223.347,-124.09,-3.2559
ohio hip hop,53f5c29e,122.3943,-75.7152,2.2986
la pop,744accac,32.1422,-59.1764,24.087
swedish trap pop,ac640899,157.3574,-7.631,13.3053
salsa puertorriquena,c4e0c04d,148.107,100.7763,3.3702
environmental,0b599ed9,-289.6854,182.9017,71.2261
musica para ninos,6fc54aae,-14.0829,144.0483,23.1647
french indie pop,4e896cbf,37.6791,-97.1218,13.8343
hindi hip hop,9eba78e0,169.2358,-111.1279,0.7395
tollywood,c9e41c30,101.0762,-43.8811,3.6902
ambient pop,b2467a0a,-165.2451,70.968,7.7494
stutter house,dd56df6c,61.6015,-171.8453,3.9516
cloud rap francais,677088fd,140.2856,21.071,4.3237
jazz blues,460a7604,79.3668,226.2823,3.0358
background piano,912ea7a7,-56.6302,274.1846,-7.1241
lagu jawa,3b5dc9fa,45.2621,-84.7059,-15.4023
florida drill,f4e0e06a,201.8967,-102.4387,10.255
cuarteto,33d62858,80.457,-86.0114,7.6891
dreamo,000690ae,-152.5117,-88.2501,-11.4164
turbo folk,f7af97e8,21.3157,-90.9214,24.4999
pinoy hip hop,0dc5ae19,154.589,-80.6463,-8.5416
czsk hip hop,de88ce95,133.901,-73.1531,-12.0976
rap napoletano,c17bc562,80.9733,-32.9659,17.9376
chicago drill,b298ae66,122.3133,-101.3244,-7.9611
japanese singer-songwriter,977af744,-27.2475,-11.862,8.0888
oxford indie,9df2d142,-106.7401,-48.2207,12.5257
new rave,15b40dce,37.7253,-186.1665,-38.1429
french rock,5107d147,42.0352,21.7181,10.6113
swedish electropop,c543f87e,36.2376,-164.6491,-19.0505
classic j-pop,3f10389b,-64.7453,-156.1289,-7.2716
polish pop,ac544e07,-27.6601,-93.9278,9.1498
drill francais,d25b6f43,203.5615,-86.88,3.4026
new jack swing,d61c0feb,120.9216,-162.0286,2.8813
canadian singer-songwriter,f3f8a321,-35.4232,72.8978,6.1303
drill espanol,55844635,190.0533,-51.093,-2.9086
gym hardstyle,bfc46728,-69.2062,-189.4628,16.4541
indonesian singer-songwriter,3b44b528,-37.038,72.7938,4.3306
dangdut,894e2129,15.0176,-61.9184,-18.9219
swing,723f4e1c,92.5436,223.8977,30.6471
deep house,50a9ede6,213.1877,-213.3881,4.1122
new french touch,71bba92e,88.5665,-162.6726,20.9036
industrial,d09675fc,-85.2136,-105.2819,1.6398
uk alternative pop,be2e44bc,-6.3164,-63.6035,-18.2606
coverchill,8d046f64,72.3873,70.4419,-3.1253
hare krishna,559a94c3,-12.0051,111.7646,-12.2023
complextro,ab528b3d,35.1872,-179.2556,-17.8851
kollywood,335d65f5,100.3136,-70.2425,-1.3505
uk metalcore,24480e0e,-190.2529,-109.101,-1.3936
baroque,1a022410,-98.7571,227.7911,-3.2943
el paso indie,83177d31,-118.5256,-12.2394,5.6911
flamenco urbano,000d74a6,147.2749,-73.6934,-15.0868
